Second of the Day,Power Produced,Time of Day
0,0.0,00:00:00
1,0.0,00:00:01
2,0.0,00:00:02
3,0.0,00:00:03
4,0.0,00:00:04
5,0.0,00:00:05
6,0.0,00:00:06
7,0.0,00:00:07
8,0.0,00:00:08
9,0.0,00:00:09
10,0.0,00:00:10
11,0.0,00:00:11
12,0.0,00:00:12
13,0.0,00:00:13
14,0.0,00:00:14
15,0.0,00:00:15
16,0.0,00:00:16
17,0.0,00:00:17
18,0.0,00:00:18
19,0.0,00:00:19
20,0.0,00:00:20
21,0.0,00:00:21
22,0.0,00:00:22
23,0.0,00:00:23
24,0.0,00:00:24
25,0.0,00:00:25
26,0.0,00:00:26
27,0.0,00:00:27
28,0.0,00:00:28
29,0.0,00:00:29
30,0.0,00:00:30
31,0.0,00:00:31
32,0.0,00:00:32
33,0.0,00:00:33
34,0.0,00:00:34
35,0.0,00:00:35
36,0.0,00:00:36
37,0.0,00:00:37
38,0.0,00:00:38
39,0.0,00:00:39
40,0.0,00:00:40
41,0.0,00:00:41
42,0.0,00:00:42
43,0.0,00:00:43
44,0.0,00:00:44
45,0.0,00:00:45
46,0.0,00:00:46
47,0.0,00:00:47
48,0.0,00:00:48
49,0.0,00:00:49
50,0.0,00:00:50
51,0.0,00:00:51
52,0.0,00:00:52
53,0.0,00:00:53
54,0.0,00:00:54
55,0.0,00:00:55
56,0.0,00:00:56
57,0.0,00:00:57
58,0.0,00:00:58
59,0.0,00:00:59
60,0.0,00:01:00
61,0.0,00:01:01
62,0.0,00:01:02
63,0.0,00:01:03
64,0.0,00:01:04
65,0.0,00:01:05
66,0.0,00:01:06
67,0.0,00:01:07
68,0.0,00:01:08
69,0.0,00:01:09
70,0.0,00:01:10
71,0.0,00:01:11
72,0.0,00:01:12
73,0.0,00:01:13
74,0.0,00:01:14
75,0.0,00:01:15
76,0.0,00:01:16
77,0.0,00:01:17
78,0.0,00:01:18
79,0.0,00:01:19
80,0.0,00:01:20
81,0.0,00:01:21
82,0.0,00:01:22
83,0.0,00:01:23
84,0.0,00:01:24
85,0.0,00:01:25
86,0.0,00:01:26
87,0.0,00:01:27
88,0.0,00:01:28
89,0.0,00:01:29
90,0.0,00:01:30
91,0.0,00:01:31
92,0.0,00:01:32
93,0.0,00:01:33
94,0.0,00:01:34
95,0.0,00:01:35
96,0.0,00:01:36
97,0.0,00:01:37
98,0.0,00:01:38
99,0.0,00:01:39
100,0.0,00:01:40
101,0.0,00:01:41
102,0.0,00:01:42
103,0.0,00:01:43
104,0.0,00:01:44
105,0.0,00:01:45
106,0.0,00:01:46
107,0.0,00:01:47
108,0.0,00:01:48
109,0.0,00:01:49
110,0.0,00:01:50
111,0.0,00:01:51
112,0.0,00:01:52
113,0.0,00:01:53
114,0.0,00:01:54
115,0.0,00:01:55
116,0.0,00:01:56
117,0.0,00:01:57
118,0.0,00:01:58
119,0.0,00:01:59
120,0.0,00:02:00
121,0.0,00:02:01
122,0.0,00:02:02
123,0.0,00:02:03
124,0.0,00:02:04
125,0.0,00:02:05
126,0.0,00:02:06
127,0.0,00:02:07
128,0.0,00:02:08
129,0.0,00:02:09
130,0.0,00:02:10
131,0.0,00:02:11
132,0.0,00:02:12
133,0.0,00:02:13
134,0.0,00:02:14
135,0.0,00:02:15
136,0.0,00:02:16
137,0.0,00:02:17
138,0.0,00:02:18
139,0.0,00:02:19
140,0.0,00:02:20
141,0.0,00:02:21
142,0.0,00:02:22
143,0.0,00:02:23
144,0.0,00:02:24
145,0.0,00:02:25
146,0.0,00:02:26
147,0.0,00:02:27
148,0.0,00:02:28
149,0.0,00:02:29
150,0.0,00:02:30
151,0.0,00:02:31
152,0.0,00:02:32
153,0.0,00:02:33
154,0.0,00:02:34
155,0.0,00:02:35
156,0.0,00:02:36
157,0.0,00:02:37
158,0.0,00:02:38
159,0.0,00:02:39
160,0.0,00:02:40
161,0.0,00:02:41
162,0.0,00:02:42
163,0.0,00:02:43
164,0.0,00:02:44
165,0.0,00:02:45
166,0.0,00:02:46
167,0.0,00:02:47
168,0.0,00:02:48
169,0.0,00:02:49
170,0.0,00:02:50
171,0.0,00:02:51
172,0.0,00:02:52
173,0.0,00:02:53
174,0.0,00:02:54
175,0.0,00:02:55
176,0.0,00:02:56
177,0.0,00:02:57
178,0.0,00:02:58
179,0.0,00:02:59
180,0.0,00:03:00
181,0.0,00:03:01
182,0.0,00:03:02
183,0.0,00:03:03
184,0.0,00:03:04
185,0.0,00:03:05
186,0.0,00:03:06
187,0.0,00:03:07
188,0.0,00:03:08
189,0.0,00:03:09
190,0.0,00:03:10
191,0.0,00:03:11
192,0.0,00:03:12
193,0.0,00:03:13
194,0.0,00:03:14
195,0.0,00:03:15
196,0.0,00:03:16
197,0.0,00:03:17
198,0.0,00:03:18
199,0.0,00:03:19
200,0.0,00:03:20
201,0.0,00:03:21
202,0.0,00:03:22
203,0.0,00:03:23
204,0.0,00:03:24
205,0.0,00:03:25
206,0.0,00:03:26
207,0.0,00:03:27
208,0.0,00:03:28
209,0.0,00:03:29
210,0.0,00:03:30
211,0.0,00:03:31
212,0.0,00:03:32
213,0.0,00:03:33
214,0.0,00:03:34
215,0.0,00:03:35
216,0.0,00:03:36
217,0.0,00:03:37
218,0.0,00:03:38
219,0.0,00:03:39
220,0.0,00:03:40
221,0.0,00:03:41
222,0.0,00:03:42
223,0.0,00:03:43
224,0.0,00:03:44
225,0.0,00:03:45
226,0.0,00:03:46
227,0.0,00:03:47
228,0.0,00:03:48
229,0.0,00:03:49
230,0.0,00:03:50
231,0.0,00:03:51
232,0.0,00:03:52
233,0.0,00:03:53
234,0.0,00:03:54
235,0.0,00:03:55
236,0.0,00:03:56
237,0.0,00:03:57
238,0.0,00:03:58
239,0.0,00:03:59
240,0.0,00:04:00
241,0.0,00:04:01
242,0.0,00:04:02
243,0.0,00:04:03
244,0.0,00:04:04
245,0.0,00:04:05
246,0.0,00:04:06
247,0.0,00:04:07
248,0.0,00:04:08
249,0.0,00:04:09
250,0.0,00:04:10
251,0.0,00:04:11
252,0.0,00:04:12
253,0.0,00:04:13
254,0.0,00:04:14
255,0.0,00:04:15
256,0.0,00:04:16
257,0.0,00:04:17
258,0.0,00:04:18
259,0.0,00:04:19
260,0.0,00:04:20
261,0.0,00:04:21
262,0.0,00:04:22
263,0.0,00:04:23
264,0.0,00:04:24
265,0.0,00:04:25
266,0.0,00:04:26
267,0.0,00:04:27
268,0.0,00:04:28
269,0.0,00:04:29
270,0.0,00:04:30
271,0.0,00:04:31
272,0.0,00:04:32
273,0.0,00:04:33
274,0.0,00:04:34
275,0.0,00:04:35
276,0.0,00:04:36
277,0.0,00:04:37
278,0.0,00:04:38
279,0.0,00:04:39
280,0.0,00:04:40
281,0.0,00:04:41
282,0.0,00:04:42
283,0.0,00:04:43
284,0.0,00:04:44
285,0.0,00:04:45
286,0.0,00:04:46
287,0.0,00:04:47
288,0.0,00:04:48
289,0.0,00:04:49
290,0.0,00:04:50
291,0.0,00:04:51
292,0.0,00:04:52
293,0.0,00:04:53
294,0.0,00:04:54
295,0.0,00:04:55
296,0.0,00:04:56
297,0.0,00:04:57
298,0.0,00:04:58
299,0.0,00:04:59
300,0.0,00:05:00
301,0.0,00:05:01
302,0.0,00:05:02
303,0.0,00:05:03
304,0.0,00:05:04
305,0.0,00:05:05
306,0.0,00:05:06
307,0.0,00:05:07
308,0.0,00:05:08
309,0.0,00:05:09
310,0.0,00:05:10
311,0.0,00:05:11
312,0.0,00:05:12
313,0.0,00:05:13
314,0.0,00:05:14
315,0.0,00:05:15
316,0.0,00:05:16
317,0.0,00:05:17
318,0.0,00:05:18
319,0.0,00:05:19
320,0.0,00:05:20
321,0.0,00:05:21
322,0.0,00:05:22
323,0.0,00:05:23
324,0.0,00:05:24
325,0.0,00:05:25
326,0.0,00:05:26
327,0.0,00:05:27
328,0.0,00:05:28
329,0.0,00:05:29
330,0.0,00:05:30
331,0.0,00:05:31
332,0.0,00:05:32
333,0.0,00:05:33
334,0.0,00:05:34
335,0.0,00:05:35
336,0.0,00:05:36
337,0.0,00:05:37
338,0.0,00:05:38
339,0.0,00:05:39
340,0.0,00:05:40
341,0.0,00:05:41
342,0.0,00:05:42
343,0.0,00:05:43
344,0.0,00:05:44
345,0.0,00:05:45
346,0.0,00:05:46
347,0.0,00:05:47
348,0.0,00:05:48
349,0.0,00:05:49
350,0.0,00:05:50
351,0.0,00:05:51
352,0.0,00:05:52
353,0.0,00:05:53
354,0.0,00:05:54
355,0.0,00:05:55
356,0.0,00:05:56
357,0.0,00:05:57
358,0.0,00:05:58
359,0.0,00:05:59
360,0.0,00:06:00
361,0.0,00:06:01
362,0.0,00:06:02
363,0.0,00:06:03
364,0.0,00:06:04
365,0.0,00:06:05
366,0.0,00:06:06
367,0.0,00:06:07
368,0.0,00:06:08
369,0.0,00:06:09
370,0.0,00:06:10
371,0.0,00:06:11
372,0.0,00:06:12
373,0.0,00:06:13
374,0.0,00:06:14
375,0.0,00:06:15
376,0.0,00:06:16
377,0.0,00:06:17
378,0.0,00:06:18
379,0.0,00:06:19
380,0.0,00:06:20
381,0.0,00:06:21
382,0.0,00:06:22
383,0.0,00:06:23
384,0.0,00:06:24
385,0.0,00:06:25
386,0.0,00:06:26
387,0.0,00:06:27
388,0.0,00:06:28
389,0.0,00:06:29
390,0.0,00:06:30
391,0.0,00:06:31
392,0.0,00:06:32
393,0.0,00:06:33
