Second of the Day,Power Produced,Time of Day
0,0.0,00:00:00
1,0.0,00:00:01
2,0.0,00:00:02
3,0.0,00:00:03
4,0.0,00:00:04
5,0.0,00:00:05
6,0.0,00:00:06
7,0.0,00:00:07
8,0.0,00:00:08
9,0.0,00:00:09
10,0.0,00:00:10
11,0.0,00:00:11
12,0.0,00:00:12
13,0.0,00:00:13
14,0.0,00:00:14
15,0.0,00:00:15
16,0.0,00:00:16
17,0.0,00:00:17
18,0.0,00:00:18
19,0.0,00:00:19
20,0.0,00:00:20
21,0.0,00:00:21
22,0.0,00:00:22
23,0.0,00:00:23
24,0.0,00:00:24
25,0.0,00:00:25
26,0.0,00:00:26
27,0.0,00:00:27
28,0.0,00:00:28
29,0.0,00:00:29
30,0.0,00:00:30
31,0.0,00:00:31
32,0.0,00:00:32
33,0.0,00:00:33
34,0.0,00:00:34
35,0.0,00:00:35
36,0.0,00:00:36
37,0.0,00:00:37
38,0.0,00:00:38
39,0.0,00:00:39
40,0.0,00:00:40
41,0.0,00:00:41
42,0.0,00:00:42
43,0.0,00:00:43
44,0.0,00:00:44
45,0.0,00:00:45
46,0.0,00:00:46
47,0.0,00:00:47
48,0.0,00:00:48
49,0.0,00:00:49
50,0.0,00:00:50
51,0.0,00:00:51
52,0.0,00:00:52
53,0.0,00:00:53
54,0.0,00:00:54
55,0.0,00:00:55
56,0.0,00:00:56
57,0.0,00:00:57
58,0.0,00:00:58
59,0.0,00:00:59
60,0.0,00:01:00
